Batch Size,Model Name,Compilation Type,Time,Device,Component
1,williamberman/laiona6plus_uvit_clip_f8,default,554.4,t4,full
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,559.2,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,None,1100.0,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,default,1100.0,t4,full
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,1100.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,None,2300.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,default,2300.0,t4,full
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,2300.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,None,4700.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,default,4900.0,t4,full
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4700.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,None,9300.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,default,9400.0,t4,full
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,9200.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,None,18600.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,default,17600.0,t4,full
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,18000.0,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,452.5,t4,full
1,runwayml/stable-diffusion-v1-5,None,3221.2,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,default,456.9,t4,full
1,runwayml/stable-diffusion-v1-5,default,3148.8,t4,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,462.6,t4,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,3206.6,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,919.1,t4,full
2,runwayml/stable-diffusion-v1-5,None,6493.7,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,959.7,t4,full
2,runwayml/stable-diffusion-v1-5,default,6230.0,t4,full
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,948.9,t4,full
2,runwayml/stable-diffusion-v1-5,reduce-overhead,6565.9,t4,full
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1800.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,3700.0,t4,full
8,runwayml/stable-diffusion-v1-5,None,23600.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,3500.0,t4,full
8,runwayml/stable-diffusion-v1-5,default,23000.0,t4,full
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3500.0,t4,full
16,openMUSE/muse-laiona6-uvit-clip-220k,None,7300.0,t4,full
16,runwayml/stable-diffusion-v1-5,None,47700.0,t4,full
16,openMUSE/muse-laiona6-uvit-clip-220k,default,7200.0,t4,full
16,runwayml/stable-diffusion-v1-5,default,44700.0,t4,full
